run_id,model_key,task,sample_id,raw_output,parse_error,error,_source_file,_source_line,auto_eval.json_valid,auto_eval.schema_valid,auto_eval.korean_output,auto_eval.length_valid,auto_eval.output_length,auto_eval.forbidden_detected,auto_eval.error,auto_eval.latency_sec,auto_eval.speed_score,auto_eval.generated_tokens,auto_eval.tokens_per_sec,auto_eval.auto_score,auto_eval.todo_direct_overlap_rate,auto_eval.todo_direct_related_violation,auto_eval.persona_keyword_hit_rate,auto_eval.worldview_term_hit,auto_eval.distinct_1,auto_eval.distinct_2,auto_eval.todo_count,auto_eval.todo_count_accuracy,auto_eval.empty_todo_rate,auto_eval.duplicate_todo_rate,auto_eval.tag_presence_rate,auto_eval.date_field_rate,auto_eval.time_field_rate,auto_eval.tag_accuracy_hint,auto_eval.task_coverage_hint,auto_eval.response_type_valid,auto_eval.response_type_accuracy,auto_eval.clarifying_schema_valid,auto_eval.plan_schema_valid,auto_eval.date_valid,auto_eval.todo_convertibility,auto_eval.calendar_convertibility,auto_eval.tag_coverage,auto_eval.quest_mention_hint,auto_eval.user_todo_leak_rate,auto_eval.repetitive_phrase_hint,auto_eval.sns_post_valid,auto_eval.event_relevance_hint,auto_eval.comment_reply_relevance_hint,auto_eval.feed_context_relevance_hint,auto_eval.pressure_phrase_detected,auto_eval.comfort_phrase_hit,auto_eval.character_name_used
20260526_051438_6654ff0b,llama-3b,todo_decomposition,TODO-SAMPLE-010,"{""todos"": [{""title"": ""책상 정리하기"", ""tag"": ""일정"", ""date"": null, ""time"": null}, {""title"": ""메일 확인하기"", ""tag"": ""일정"", ""date"": null, ""time"": null}]","Expecting ',' delimiter: line 1 column 137 (char 136)",,failure_cases-llama-3b_gemma3-4b.jsonl,1,False,False,True,True,136,False,False,0.4652,5.0,57.0,122.528,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260526_051438_6654ff0b,llama-3b,planner_chatbot,PLAN-SAMPLE-004,"{""response_type"":""clarifying_question"",""message"":""평일 1시간, 주말 3시간 공부할 수 있는 시간을 어떻게 할 것인가에 대해 알려주세요."",""missing_fields"":[""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id"",""sample_id",Unterminated string starting at: line 1 column 2003 (char 2002),,failure_cases-llama-3b_gemma3-4b.jsonl,2,False,False,True,False,2012,False,False,4.0996,5.0,512.0,124.89,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260526_051438_6654ff0b,llama-3b,quest_generation,QUEST-SAMPLE-001,"{""quest"": ""최벨리가 잃어버린 잎을 찾습니다. 그 잎은 최벨리가 자주 챙겨두고 있는 마을의 집에서 missing합니다. 최벨리는 잎을 찾고 싶고, 너도 도와 줄 수 있어요!""}",,,failure_cases-llama-3b_gemma3-4b.jsonl,3,True,True,True,False,89,False,False,0.579,5.0,63.0,108.808,4.16,0.0,False,0.1,True,0.9090909090909091,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260526_051438_6654ff0b,llama-3b,quest_generation,QUEST-SAMPLE-004,"{""quest"": ""최벨리의 깃 커밋하기""}



최벨리는 무언가를 하기 전에 첫째, 자신이 원하는 대로 집안을 청결하게 유지해 주세요. 그 후에 깃을.commit해 주시면 됩니다.",Extra data: line 5 column 1 (char 28),,failure_cases-llama-3b_gemma3-4b.jsonl,4,False,False,True,False,101,False,False,0.5084,5.0,59.0,116.05,2.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260526_051438_6654ff0b,llama-3b,quest_generation,QUEST-SAMPLE-005,"{""quest"": ""최벨리, 깃 커밋하는 법을 배워라! 너의 일기 nhật记를 지 keeping record하는 법을 잘 배워라!""}",,,failure_cases-llama-3b_gemma3-4b.jsonl,5,True,True,True,False,61,False,False,0.3555,5.0,40.0,112.518,3.25,0.5,True,0.07142857142857142,False,0.875,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260526_051438_6654ff0b,llama-3b,quest_generation,QUEST-SAMPLE-009,"{""quest"": ""최벨리는 지하철역에서 깃 커밋을 하기 위해 간단한 전자จournalling 앱을 설치했습니다. 이제 그 때 가서 사용해 보세요!""}",,,failure_cases-llama-3b_gemma3-4b.jsonl,6,True,True,True,False,71,False,False,0.4071,5.0,47.0,115.451,3.22,0.5,True,0.0,False,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260526_051438_6654ff0b,llama-3b,feed_post_generation,FEED-SAMPLE-006,"{""post"": ""안녕하세요 mọi 사람들! 오늘은 덩이의 새침한 마음과 함께 일상에 집중해 보았습니다. 아침에 별 무늬 담요를 폭신하게 접기에는 정말 기분이 좋았습니다. 그Dam이 덩이의 사랑받는 무늬가 되기 위해 노력하는 것이 정말 감동입니다. 마을에 지속적으로 덩이를 보며 자주 생각해",Unterminated string starting at: line 1 column 10 (char 9),,failure_cases-llama-3b_gemma3-4b.jsonl,7,False,False,True,False,162,False,False,0.8191,5.0,96.0,117.202,2.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260526_051438_6654ff0b,llama-3b,feed_post_generation,FEED-SAMPLE-008,"{""post"": ""오늘 아침, 조끼 단추를 반짝 닦은 후, 마을 사람들과 함께 일상을 보니 하늘이 푸르러 보인다. 덩뚜기 but 따뜻한 감정으로 마을 사람들을 만나며, 그들 모두가 한 일도 잘 하며 행복해 보인다. 사랑스러운 마을, 사랑스러운 사람들... 덩뚜기 but 따뜻",Unterminated string starting at: line 1 column 10 (char 9),,failure_cases-llama-3b_gemma3-4b.jsonl,8,False,False,True,False,153,False,False,0.8297,5.0,96.0,115.704,2.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260526_051438_6654ff0b,llama-3b,character_message_generation,MSG-SAMPLE-001,"{""message"": ""최벨리 here! TODO를 완료해주신 congratulations! 그럼 다음 번에는 더 많은 도움이 필요할까?",Unterminated string starting at: line 1 column 13 (char 12),,failure_cases-llama-3b_gemma3-4b.jsonl,9,False,False,True,True,76,False,False,0.3023,5.0,33.0,109.163,2.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260526_051438_6654ff0b,llama-3b,character_message_generation,MSG-SAMPLE-006,"{""message"": ""아, 간식은 오래 전부터 포근한 우리 마을의 특산물이야. today는 물론이지만 yesterday도 가득 차 있었어. 너도 나눠주고 싶어? 물론, 나도 나누어줄게. 어떤 간식이 좋을까? 오, yesterday의 간식은 달콤한 과일 간식이야. 오늘은 고구마 간식이 있지?",Unterminated string starting at: line 1 column 13 (char 12),,failure_cases-llama-3b_gemma3-4b.jsonl,10,False,False,True,False,163,False,False,0.8411,5.0,96.0,114.136,2.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
